location,type,name,price,totalPrice,quantityPerPack,originalPrice,salePrice,profit,instock,message
makro,ขนม,Ahh * 12,5,48,12,4,4.6,1,19,
makro,ยา,air x,15,1,1,1,1.15,14,0,ไม่รู้ต้นทุน
makro,ขนม,alfie ช็อคโกแล็ต * 12,5,48,12,4,4.6,1,12,
makro,ขนม,alfie สตรอเบอร์รี่ * 12,5,48,12,4,4.6,1,10,
online,อื่นๆ,ATK,50,45,1,45,51.75,5,0,
makro,แช่เย็น/ฟรีส,BKP แฟรงค์ไก่รมควันหนังกรอบ 500g,85,69,1,69,79.35,16,-3,
makro,ขนม,Cereal Cop * 3,20,50,3,16.66666667,19.16666667,3.333333333,3,8-Mar
makro,ขนม,collon รสนม * 10,15,125,10,12.5,14.375,2.5,8,
makro,ขนม,collon รสสตรอเบอร์รี่ * 10,15,125,10,12.5,14.375,2.5,10,
makro,ของใช้ส่วนตัว,comfort 500/580ml * 3,18,39,3,13,14.95,5,-13,
makro,ยา,de colgen,15,1,1,1,1.15,14,-1,ไม่รู้ต้นทุน
makro,เครื่องดื่ม,double c,15,115,10,11.5,13.225,3.5,8,8-Feb
makro,ของใช้ส่วนตัว,downy 110ml * 6+1 ญ 20บ,20,98,6,16.33333333,18.78333333,3.666666667,16,
makro,ของใช้ส่วนตัว,downy 25ml * 24 ล 5บ,5,24,6,4,4.6,1,-1,
makro,ขนม,Entree BBQ* 6,20,96,6,16,18.4,4,6,26-Mar
makro,ขนม,Entree คลาสสิก * 6,20,96,6,16,18.4,4,0,
makro,ขนม,Entree รสหมูย่างโคชูจัง * 6,20,96,6,16,18.4,4,1,
makro,ขนม,FF มะเขือเทศ,5,1,1,1,1.15,4,1,ไม่รูู้ต้นทุน
makro,เครื่องดื่ม,Hi เลม่อน 200%,15,192,60,3.2,3.68,11.8,20,8-Feb
makro,เครื่องดื่ม,Hi ส้ม 200%,15,192,60,3.2,3.68,11.8,10,8-Feb
makro,ของใช้ส่วนตัว,hygiene 20ml * 24 ล 5บ,5,55,24,2.291666667,2.635416667,2.708333333,9,-4
makro,ของใช้ส่วนตัว,hygiene 600ml * 3 ญ,18,43,3,14.33333333,16.48333333,3.666666667,9,8-Mar
makro,เครื่องดื่ม,kopiko ลัคกี้เดย์ กาแฟขวด 180ml * 24,12,240,24,10,11.5,2,18,8-Feb
makro,ขนม,M&K ช็อกโกแล็ต * 12,5,49,12,4.083333333,4.695833333,0.916666667,12,
makro,ขนม,M&K นม * 12,5,49,12,4.083333333,4.695833333,0.916666667,10,
makro,เครื่องดื่ม,m100/m150 150ml * 50,12,520,50,10.4,11.96,1.6,50,8-Mar
makro,ขนม,mentos 37g * 12,10,96,12,8,9.2,2,12,12-Feb
makro,เครื่องดื่ม,moccona กาแฟซอง เขียว 18g * 60/100,5,192,60,3.2,3.68,1.8,0,ไม่รูู้ต้นทุน
makro,เครื่องดื่ม,moccona กาแฟซอง แดง 18g * 60/100,5,192,60,3.2,3.68,1.8,0,ไม่รูู้ต้นทุน
makro,เครื่องดื่ม,puriku ม่วง,15,1,1,1,1.15,14,0,8-Feb
makro,ของใช้ส่วนตัว,Ranger scout 300ml * 3,50,125,3,41.66666667,47.91666667,8.333333333,0,
makro,ของใช้ส่วนตัว,Scotchbrite * 3+1,20,65,4,16.25,18.6875,3.75,3,
makro,ขนม,snackjack 30/32g * 6,10,48,6,8,9.2,2,-1,
makro,ขนม,snackjack 70/65 * 4,20,67,4,16.75,19.2625,3.25,4,
makro,ขนม,snackjack โนริ วาซาบิ 65g * 4,20,67,4,16.75,19.2625,3.25,4,12-Feb
makro,ขนม,snackjack กุ้งพริกเกลือ 65g * 4,20,67,4,16.75,19.2625,3.25,4,12-Feb
makro,ขนม,snackjack สเต็กไก่ 65g * 4,20,74,4,18.5,21.275,1.5,4,12-Feb
makro,ขนม,snackjack หอยเชล 65g * 4,20,74,4,18.5,21.275,1.5,4,12-Feb
makro,เครื่องดื่ม,sponsor 250ml * 24,12,237,24,9.875,11.35625,2.125,49,8-Feb
ร้านขายส่ง,เครื่องดื่ม,spy,35,109,4,27.25,31.3375,7.75,8,8-Feb
makro,ขนม,Toro ชมพู 80g * 4,20,70.5,4,17.625,20.26875,2.375,1,
makro,ขนม,yoyo * 12,5,50,12,4.166666667,4.791666667,0.833333333,5,
ร้านขายส่ง,เครื่องปรุง,เกลือ,5,1,1,1,1.15,4,0,ไม่รู้ต้นทุน
ตลาดแก่งคอย,กับข้าวสด,เกี๊ยวกล่องเล็ก,25,20,1,20,23,5,0,
ตลาดแก่งคอย,กับข้าวสด,เกี๊ยวกล่องใหญ่,35,30,1,30,34.5,5,-1,
makro,ของใช้ส่วนตัว,เคลียร์เมนแชมพู 400/425ml 1+1,120,205,2,102.5,117.875,17.5,6,12-Feb
makro,ของใช้ส่วนตัว,เคลียร์เมนแชมพู 60/65ml * 6,25,119,6,19.83333333,22.80833333,5.166666667,6,8-Mar
makro,เครื่องดื่ม,เจเล่ไลท์ รสลิ้นจี่ * 6,5,24,6,4,4.6,1,24,12-Feb
makro,ขนม,เจเล่บิวตี้ รสblackcurrant * 6,10,48,6,8,9.2,2,0,
makro,ขนม,เจเล่บิวตี้ รสแอปเปิ้ล * 6,10,48,6,8,9.2,2,0,
makro,ขนม,เจเล่บิวตี้ รสลิ้นจี่ * 6,10,48,6,8,9.2,2,12,26-Mar
makro,ขนม,เจเล่บิวตี้ รสสตอร์เบอร์รี่ * 6,10,48,6,8,9.2,2,0,
makro,ขนม,เจ้าสั่ว ข้างตังหน้าหมูหยอง * 6,20,99,6,16.5,18.975,3.5,6,8-Mar
makro,ขนม,เจ้าสั่ว หมูแท่ง * 6,20,99,6,16.5,18.975,3.5,12,8-Mar
ตลาดแก่งคอย,กับข้าวสด,เฉาก๊วย,25,20,1,20,23,5,-2,
ตลาดแก่งคอย,กับข้าวสด,เฉาก๊วย ล,12,10,1,10,11.5,2,0,
makro,ของใช้ส่วนตัว,เชนไดร์ทม่วงลาเวนเดอร์ 300ml * 3,55,148,3,49.33333333,56.73333333,5.666666667,0,
makro,ขนม,เซี่ยงไฮ้เวเฟอร์ * 24,2,41,24,1.708333333,1.964583333,0.291666667,24,
makro,ขนม,เซี่ยงไฮ้เวเฟอร์ ช็อกโกแล็ต 12/15ช * 6,15,74,6,12.33333333,14.18333333,2.666666667,6,8-Mar
makro,ขนม,เซี่ยงไฮ้เวเฟอร์ นม 12/15ช * 6,15,74,6,12.33333333,14.18333333,2.666666667,6,8-Mar
makro,ขนม,เซี่ยงไฮ้เวเฟอร์ วานิลลา 12/15ช * 6,15,74,6,12.33333333,14.18333333,2.666666667,6,8-Mar
makro,ขนม,เซี่ยงไฮ้เวเฟอร์ สตอร์เบอร์รี่ 12/15ช * 6,15,74,6,12.33333333,14.18333333,2.666666667,6,8-Mar
makro,แช่เย็น/ฟรีส,เต้าหู้ไข่ไก่ ตราแม่บ้าน 105g*10,11,92,10,9.2,10.58,1.8,2,
ตลาดแก่งคอย,กับข้าวสด,เต้าฮวยนมสด,10,8,1,8,9.2,2,0,18-Feb
makro,ขนม,เถ้าแก่น้อย ต้มยำกุ้ง 3.5g * 12,5,48.5,12,4.041666667,4.647916667,0.958333333,12,12-Feb
makro,ขนม,เถ้าแก่น้อย บิํ๊กชีท 3.5g * 12,5,48.5,12,4.041666667,4.647916667,0.958333333,12,12-Feb
makro,ขนม,เทสโต้ 42/46g * 6,20,97,6,16.16666667,18.59166667,3.833333333,0,
makro,ขนม,เทสโต้ รสปลา 3 รส 42g/46g * 6,20,96,6,16,18.4,4,0,
makro,ขนม,เทสโต้ รสสาหร่ายญี่ปุ่น 42g/46g * 6,20,96,6,16,18.4,4,0,
makro,เครื่องดื่ม,เนส กาแฟกระป๋อง black roast * 30,15,395,30,13.16666667,15.14166667,1.833333333,30,8-Mar
makro,เครื่องดื่ม,เนส กาแฟกระป๋อง เอสเปรสโซ เขียว * 30,16,410,30,13.66666667,15.71666667,2.333333333,60,26-Mar
makro,เครื่องดื่ม,เนส กาแฟกระป๋อง แบล็ก ไอซ์ * 30,15,395,30,13.16666667,15.14166667,1.833333333,30,19-Mar
makro,เครื่องดื่ม,เนส กาแฟกระป๋อง โรบัสต้า แดง * 30,15,365,30,12.16666667,13.99166667,2.833333333,54,12-Feb
makro,เครื่องดื่ม,เนส กาแฟกระป๋อง ลาเต้ * 30,15,395,30,13.16666667,15.14166667,1.833333333,30,26-Mar
makro,เครื่องดื่ม,เนส กาแฟซอง 26.5g * 30,10,193,30,6.433333333,7.398333333,3.566666667,0,
makro,เครื่องดื่ม,เนส กาแฟซอง เขียว 17g * 60,5,192,60,3.2,3.68,1.8,-6,
makro,เครื่องดื่ม,เนส กาแฟซอง แดง 17g * 60,5,192,60,3.2,3.68,1.8,0,
makro,ขนม,เบง เบง * 24,5,92,24,3.833333333,4.408333333,1.166666667,24,
makro,ขนม,เบนโตะ long 10g * 6,10,48,6,8,9.2,2,12,26-Mar
makro,ขนม,เบนโตะ long ซอสซี้ด 3 รส 10g * 6,10,49.5,6,8.25,9.4875,1.75,6,12-Feb
makro,ขนม,เบนโตะ long ซีอิ๊ว 15g * 6,10,49.5,6,8.25,9.4875,1.75,6,26-Mar
makro,ขนม,เบนโตะ ปรุงรส 5g * 12,5,49.5,12,4.125,4.74375,0.875,6,12-Feb
makro,ขนม,เบนโตะ ฟิชโช่ ยาว,10,49.5,6,8.25,9.4875,1.75,0,-4 ไม่รู้ต้นทุน
makro,เครื่องดื่ม,เบอร์ดี้ กาแฟกระป๋อง black 180ml * 6,15,83,6,13.83333333,15.90833333,1.166666667,6,8-Mar
makro,เครื่องดื่ม,เบอร์ดี้ กาแฟกระป๋อง Max Roast 180ml * 6,15,83,6,13.83333333,15.90833333,1.166666667,12,8-Mar
makro,เครื่องดื่ม,เบอร์ดี้ กาแฟกระป๋อง เขียว 180ml * 30,15,360,30,12,13.8,3,0,8-Feb
makro,เครื่องดื่ม,เบอร์ดี้ กาแฟกระป๋อง โรบัสต้า แดง 180ml * 30,15,360,30,12,13.8,3,94,8-Feb
makro,ของใช้ส่วนตัว,เป็ด โปร 300ml * 6,27,143,6,23.83333333,27.40833333,3.166666667,0,
makro,เครื่องดื่ม,เป๊ปซี่ 1l * 12,25,269,12,22.41666667,25.77916667,2.583333333,72,29-Apr
makro,เครื่องดื่ม,เป๊ปซี่ 300ml * 24,13,244,24,10.16666667,11.69166667,2.833333333,48,26-Mar
ตลาดแก่งคอย,กับข้าวสด,เปียกปูน,12,10,1,10,11.5,2,0,-2
ตลาดแก่งคอย,กับข้าวสด,เปียกปูน ญ,20,18,1,18,20.7,2,0,-2
makro,เครื่องดื่ม,เพียวริคุ เก๊กฮวย 350ml * 6,10,57,6,9.5,10.925,0.5,0,-3
