Trans ID,ของ,วันที่,ชื่อสินค้า,จำนวน,ราคาต่อหน่วย,รวมทั้งสิ้น
98,KR เบิกงาน,1/17/2023 0:00,น้ำยาล้างจาน โปร เหลือง 400ml * 3,1,13,13
,KR เบิกงาน Total,,,,,13
32,เต้ย,1/16/2023 0:00,ช้าง เบียร์,2,60,120
32,เต้ย,1/16/2023 0:00,น้ำแข็ง,1,5,5
67,เต้ย,1/17/2023 0:00,ข้าว,2,5,10
67,เต้ย,1/17/2023 0:00,กับข้าว 25,2,25,50
67,เต้ย,1/17/2023 0:00,น้ำแข็ง,1,5,5
120,เต้ย,1/17/2023 0:00,ช้าง เบียร์,2,60,120
120,เต้ย,1/17/2023 0:00,บะหมี่กล่อง 30,1,30,30
120,เต้ย,1/17/2023 0:00,น้ำแข็ง,1,5,5
143,เต้ย,1/18/2023 0:00,น้ำแข็ง,1,5,5
143,เต้ย,1/18/2023 0:00,ข้าว,2,5,10
143,เต้ย,1/18/2023 0:00,กับข้าว 25,2,25,50
192,เต้ย,1/18/2023 0:00,ช้าง เบียร์,2,60,120
192,เต้ย,1/18/2023 0:00,น้ำแข็ง,1,5,5
192,เต้ย,1/18/2023 0:00,บะหมี่กล่อง 30,1,30,30
295,เต้ย,1/20/2023 0:00,กับข้าว 25,2,25,50
295,เต้ย,1/20/2023 0:00,ข้าว,2,5,10
300,เต้ย,1/20/2023 0:00,น้ำแข็ง,1,5,5
342,เต้ย,1/20/2023 0:00,ช้าง เบียร์,1,60,60
342,เต้ย,1/20/2023 0:00,น้ำแข็ง,1,5,5
344,เต้ย,1/20/2023 0:00,หมูปิ้ง,1,25,25
344,เต้ย,1/20/2023 0:00,ข้าวเหนียว,1,5,5
381,เต้ย,1/21/2023 0:00,ข้าวหมูแดง,1,35,35
381,เต้ย,1/21/2023 0:00,ข้าวเหนียว,2,5,10
381,เต้ย,1/21/2023 0:00,กับข้าว 25,2,25,50
418,เต้ย,1/21/2023 0:00,แคปหมู,1,10,10
418,เต้ย,1/21/2023 0:00,ผลไม้ดอง,1,5,5
418,เต้ย,1/21/2023 0:00,ปลากระป๋อง 3 แม่ครัว 155g * 10,2,20,40
418,เต้ย,1/21/2023 0:00,ปลากระป๋องซีเชฟ * 10,1,20,20
418,เต้ย,1/21/2023 0:00,ช้าง เบียร์,2,60,120
418,เต้ย,1/21/2023 0:00,ไข่เค็ม,2,8,16
418,เต้ย,1/21/2023 0:00,ไข่เยี่ยวม้า,3,8,24
418,เต้ย,1/21/2023 0:00,ผักกาดดอง นกพิราบ * 6,2,20,40
418,เต้ย,1/21/2023 0:00,ไก่เสียบไม้ 35,1,40,40
418,เต้ย,1/21/2023 0:00,ข้าวเหนียว,2,5,10
567,เต้ย,1/21/2023 0:00,น้ำแข็ง,1,5,5
429,เต้ย,1/23/2023 0:00,น้ำแข็ง,1,5,5
429,เต้ย,1/23/2023 0:00,กับข้าว 25,2,25,50
429,เต้ย,1/23/2023 0:00,ข้าว,2,5,10
471,เต้ย,1/23/2023 0:00,ช้าง เบียร์,1,60,60
